text,top_terms
texts\Финляндия.txt,"{'финляндия': 3.0, 'недвижимость': 3.0, 'законопроект': 3.0, 'покупка': 2.0, 'профиль': 2.0, 'россиянин': 2.0, 'мвд': 2.0, 'представлять': 2.0, 'фиктивный': 1.0, 'новый': 1.0}"
texts\cars\32CARS названы особенности переключения передач в авто с МКПП.txt,"{'передача': 7.0, 'переключение': 3.0, 'МКПП': 3.0, 'SpeedMe': 3.0, 'особенность': 2.0, 'авто': 2.0, 'автомобиль': 2.0, 'двигатель': 2.0, 'коробка': 2.0, 'называть': 2.0}"
"texts\cars\Volkswagen грозят не поставить на учет, так как нет номера двигателя.txt","{'ru': 5.0, 'номер': 4.0, 'Volkswagen': 3.0, 'цилиндр': 2.0, 'поставлять': 2.0, 'устанавливать': 2.0, 'учет': 2.0, 'смочь': 2.0, 'двигатель': 2.0, 'блок': 2.0}"
texts\cars\«За рулем» разобрал совет по удалению обратного клапана стеклоомывающей системы.txt,"{'руль': 5.0, 'система': 3.0, 'бачок': 2.0, 'стеклоомыватель': 2.0, 'охлаждение': 1.0, 'ездить': 1.0, 'стеклоомывать': 1.0, 'нагреваться': 1.0, 'дорога': 1.0, 'совет': 1.0}"
"texts\cars\Автокриминалист раскрыл новый вид мошенничества, который грозит потерей ПТС.txt","{'средство': 2.0, 'транспортный': 2.0, 'руль': 2.0, 'автокриминалист': 1.0, 'граница': 1.0, 'СБКТС': 1.0, 'новый': 1.0, 'ПТС': 1.0, 'продавец': 1.0, 'CarsWeek': 1.0}"
texts\cars\В России растут продажи люксовых автомобилей с пробегом.txt,"{'шт': 6.0, 'пробег': 3.0, 'автомобиль': 3.0, 'люксовый': 3.0, 'Bentley': 2.0, 'купить': 2.0, 'автостат': 2.0, 'люкс': 2.0, 'россия': 2.0, 'Urus': 1.0}"
texts\cars\В Тольятти наладили выпуск Lada Granta для автошкол.txt,"{'волга': 4.0, 'ньюс': 4.0, 'автомобиль': 3.0, 'атс': 2.0, 'инжиниринговый': 2.0, 'выпуск': 2.0, 'оборудование': 2.0, 'литр': 1.0, 'отделение': 1.0, 'Lada': 1.0}"
texts\cars\Внедорожник УАЗ «Патриот» получит новый дизайн и двигатель.txt,"{'новый': 4.0, 'уаз': 4.0, 'патриот': 4.0, 'получать': 4.0, 'интерьер': 3.0, 'внедорожник': 3.0, 'агрегат': 2.0, 'дизайн': 2.0, 'двигатель': 2.0, 'день': 2.0}"
"texts\cars\Дилер рассказал, что будет с авторынком после повышения ключевой ставки ЦБ.txt","{'новый': 3.0, 'ключевой': 2.0, 'рассказывать': 2.0, 'газета': 2.0, 'авторынок': 2.0, 'часть': 2.0, 'кредит': 2.0, 'ставка': 2.0, 'продажа': 2.0, 'автомобиль': 2.0}"
"texts\cars\Дилеры «Москвича», Chery и Haval ввели новые скидки на машины.txt","{'AutoNews': 3.0, 'скидка': 3.0, 'новый': 2.0, 'крупный': 2.0, 'автомобиль': 2.0, 'московский': 2.0, 'москвич': 2.0, 'октябрь': 2.0, 'машина': 2.0, 'конец': 2.0}"
