text,top_terms
texts\Финляндия.txt,"{'финляндия': 0.34800956221664525, 'недвижимость': 0.34800956221664525, 'законопроект': 0.34800956221664525, 'профиль': 0.23200637481109682, 'мвд': 0.23200637481109682, 'покупка': 0.197230702579521, 'россиянин': 0.17688823838667914, 'представлять': 0.17688823838667914, 'фиктивный': 0.11600318740554841, 'парламент': 0.11600318740554841}"
texts\cars\32CARS названы особенности переключения передач в авто с МКПП.txt,"{'передача': 0.601291568571649, 'переключение': 0.28246291144425295, 'МКПП': 0.28246291144425295, 'SpeedMe': 0.2264942552387997, 'особенность': 0.18830860762950197, 'коробка': 0.18830860762950197, 'авто': 0.15099617015919978, 'двигатель': 0.15099617015919978, 'называть': 0.13729462451140861, 'автомобиль': 0.10363129965501311}"
"texts\cars\Volkswagen грозят не поставить на учет, так как нет номера двигателя.txt","{'номер': 0.4366630122997513, 'Volkswagen': 0.3274972592248135, 'цилиндр': 0.21833150614987565, 'ru': 0.2149373458647357, 'блок': 0.1991880630025081, 'поставлять': 0.1856055739341062, 'устанавливать': 0.1750701769224706, 'учет': 0.1750701769224706, 'смочь': 0.1750701769224706, 'двигатель': 0.1750701769224706}"
texts\cars\«За рулем» разобрал совет по удалению обратного клапана стеклоомывающей системы.txt,"{'руль': 0.4648476592695874, 'система': 0.2933314438510345, 'бачок': 0.2438774250909891, 'стеклоомыватель': 0.2438774250909891, 'охлаждение': 0.12193871254549454, 'ездить': 0.12193871254549454, 'стеклоомывать': 0.12193871254549454, 'нагреваться': 0.12193871254549454, 'дорога': 0.12193871254549454, 'идеально': 0.12193871254549454}"
"texts\cars\Автокриминалист раскрыл новый вид мошенничества, который грозит потерей ПТС.txt","{'транспортный': 0.24053304916493334, 'средство': 0.21140907159921504, 'руль': 0.20101427407385355, 'автокриминалист': 0.13182502533382415, 'граница': 0.13182502533382415, 'СБКТС': 0.13182502533382415, 'ПТС': 0.13182502533382415, 'продавец': 0.13182502533382415, 'схема': 0.13182502533382415, 'гибдд': 0.13182502533382415}"
texts\cars\В России растут продажи люксовых автомобилей с пробегом.txt,"{'шт': 0.5785433219723957, 'люксовый': 0.28927166098619783, 'пробег': 0.263908140650143, 'Bentley': 0.19284777399079853, 'люкс': 0.19284777399079853, 'автостат': 0.17593876043342865, 'купить': 0.16394162438885984, 'автомобиль': 0.15919398777747373, 'россия': 0.10360111121118955, 'Urus': 0.09642388699539926}"
texts\cars\В Тольятти наладили выпуск Lada Granta для автошкол.txt,"{'волга': 0.411917120291353, 'ньюс': 0.37579996930027354, 'атс': 0.2059585601456765, 'инжиниринговый': 0.2059585601456765, 'оборудование': 0.2059585601456765, 'выпуск': 0.18789998465013677, 'автомобиль': 0.17001681599944893, 'литр': 0.10297928007283826, 'отделение': 0.10297928007283826, 'Lada': 0.10297928007283826}"
texts\cars\Внедорожник УАЗ «Патриот» получит новый дизайн и двигатель.txt,"{'патриот': 0.39657696460561975, 'уаз': 0.36180484806888974, 'внедорожник': 0.29743272345421484, 'интерьер': 0.2713536360516673, 'получать': 0.25038016950859376, 'агрегат': 0.19828848230280988, 'дизайн': 0.19828848230280988, 'новый': 0.18712472312115658, 'автоновость': 0.18090242403444487, 'двигатель': 0.1589985810596254}"
"texts\cars\Дилер рассказал, что будет с авторынком после повышения ключевой ставки ЦБ.txt","{'авторынок': 0.22575391000271, 'бойко': 0.22575391000271, 'продажа': 0.20595966583867198, 'кредит': 0.19191542610051937, 'цб': 0.19191542610051937, 'сам': 0.18102186744401044, 'ставка': 0.17212118193648132, 'руль': 0.17212118193648132, 'часть': 0.16459575956711872, 'новый': 0.15978287321145498}"
"texts\cars\Дилеры «Москвича», Chery и Haval ввели новые скидки на машины.txt","{'AutoNews': 0.3666450318640193, 'скидка': 0.3666450318640193, 'крупный': 0.24443002124267957, 'москвич': 0.24443002124267957, 'конец': 0.24443002124267957, 'московский': 0.18636037868200916, 'октябрь': 0.1782123951118404, 'машина': 0.17115429070110674, 'автомобиль': 0.13451642543032033, 'выяснивать': 0.12221501062133978}"
"texts\cars\Перекуп объяснил, как по объявлению понять, что вам пытаются продать автохлам.txt","{'NaAvtotrasse': 0.34956986573363796, 'изучение': 0.3189193610551651, 'автохол': 0.23304657715575866, 'объявление': 0.23304657715575866, 'транспортный': 0.21261290737011007, 'средство': 0.186869527963718, 'ru': 0.13765419468778387, 'сомнительный': 0.11652328857787933, 'сила': 0.11652328857787933, 'перекуп': 0.11652328857787933}"
