text,top_terms
texts\Финляндия.txt,"{'финляндия': 0.05263157894736842, 'недвижимость': 0.05263157894736842, 'законопроект': 0.05263157894736842, 'покупка': 0.03508771929824561, 'профиль': 0.03508771929824561, 'россиянин': 0.03508771929824561, 'мвд': 0.03508771929824561, 'представлять': 0.03508771929824561, 'фиктивный': 0.017543859649122806, 'новый': 0.017543859649122806}"
texts\cars\32CARS названы особенности переключения передач в авто с МКПП.txt,"{'передача': 0.10606060606060606, 'переключение': 0.045454545454545456, 'МКПП': 0.045454545454545456, 'SpeedMe': 0.045454545454545456, 'особенность': 0.030303030303030304, 'авто': 0.030303030303030304, 'автомобиль': 0.030303030303030304, 'двигатель': 0.030303030303030304, 'коробка': 0.030303030303030304, 'называть': 0.030303030303030304}"
"texts\cars\Volkswagen грозят не поставить на учет, так как нет номера двигателя.txt","{'ru': 0.07246376811594203, 'номер': 0.057971014492753624, 'Volkswagen': 0.043478260869565216, 'цилиндр': 0.028985507246376812, 'поставлять': 0.028985507246376812, 'устанавливать': 0.028985507246376812, 'учет': 0.028985507246376812, 'смочь': 0.028985507246376812, 'двигатель': 0.028985507246376812, 'блок': 0.028985507246376812}"
texts\cars\«За рулем» разобрал совет по удалению обратного клапана стеклоомывающей системы.txt,"{'руль': 0.08620689655172414, 'система': 0.05172413793103448, 'бачок': 0.034482758620689655, 'стеклоомыватель': 0.034482758620689655, 'охлаждение': 0.017241379310344827, 'ездить': 0.017241379310344827, 'стеклоомывать': 0.017241379310344827, 'нагреваться': 0.017241379310344827, 'дорога': 0.017241379310344827, 'совет': 0.017241379310344827}"
"texts\cars\Автокриминалист раскрыл новый вид мошенничества, который грозит потерей ПТС.txt","{'средство': 0.03125, 'транспортный': 0.03125, 'руль': 0.03125, 'автокриминалист': 0.015625, 'граница': 0.015625, 'СБКТС': 0.015625, 'новый': 0.015625, 'ПТС': 0.015625, 'продавец': 0.015625, 'CarsWeek': 0.015625}"
texts\cars\В России растут продажи люксовых автомобилей с пробегом.txt,"{'шт': 0.08571428571428572, 'пробег': 0.04285714285714286, 'автомобиль': 0.04285714285714286, 'люксовый': 0.04285714285714286, 'Bentley': 0.02857142857142857, 'купить': 0.02857142857142857, 'автостат': 0.02857142857142857, 'люкс': 0.02857142857142857, 'россия': 0.02857142857142857, 'Urus': 0.014285714285714285}"
texts\cars\В Тольятти наладили выпуск Lada Granta для автошкол.txt,"{'волга': 0.0547945205479452, 'ньюс': 0.0547945205479452, 'автомобиль': 0.0410958904109589, 'атс': 0.0273972602739726, 'инжиниринговый': 0.0273972602739726, 'выпуск': 0.0273972602739726, 'оборудование': 0.0273972602739726, 'литр': 0.0136986301369863, 'отделение': 0.0136986301369863, 'Lada': 0.0136986301369863}"
texts\cars\Внедорожник УАЗ «Патриот» получит новый дизайн и двигатель.txt,"{'новый': 0.057971014492753624, 'уаз': 0.057971014492753624, 'патриот': 0.057971014492753624, 'получать': 0.057971014492753624, 'интерьер': 0.043478260869565216, 'внедорожник': 0.043478260869565216, 'агрегат': 0.028985507246376812, 'дизайн': 0.028985507246376812, 'двигатель': 0.028985507246376812, 'день': 0.028985507246376812}"
"texts\cars\Дилер рассказал, что будет с авторынком после повышения ключевой ставки ЦБ.txt","{'новый': 0.03571428571428571, 'ключевой': 0.023809523809523808, 'рассказывать': 0.023809523809523808, 'газета': 0.023809523809523808, 'авторынок': 0.023809523809523808, 'часть': 0.023809523809523808, 'кредит': 0.023809523809523808, 'ставка': 0.023809523809523808, 'продажа': 0.023809523809523808, 'автомобиль': 0.023809523809523808}"
"texts\cars\Дилеры «Москвича», Chery и Haval ввели новые скидки на машины.txt","{'AutoNews': 0.05357142857142857, 'скидка': 0.05357142857142857, 'новый': 0.03571428571428571, 'крупный': 0.03571428571428571, 'автомобиль': 0.03571428571428571, 'московский': 0.03571428571428571, 'москвич': 0.03571428571428571, 'октябрь': 0.03571428571428571, 'машина': 0.03571428571428571, 'конец': 0.03571428571428571}"
"texts\cars\Перекуп объяснил, как по объявлению понять, что вам пытаются продать автохлам.txt","{'ru': 0.04477611940298507, 'NaAvtotrasse': 0.04477611940298507, 'изучение': 0.04477611940298507, 'автохол': 0.029850746268656716, 'средство': 0.029850746268656716, 'транспортный': 0.029850746268656716, 'объявление': 0.029850746268656716, 'часто': 0.014925373134328358, 'рассказывать': 0.014925373134328358, 'износ': 0.014925373134328358}"
texts\cars\Состоялась презентация 7-местного Mitsubishi DST.txt,"{'состояться': 0.02702702702702703, 'DST': 0.02702702702702703, 'консоль': 0.02702702702702703, 'Motor': 0.02702702702702703, 'Mitsubishi': 0.02702702702702703, 'серийный': 0.02702702702702703, 'машина': 0.02702702702702703, 'презентация': 0.013513513513513514, 'салон': 0.013513513513513514, 'шестиугольный': 0.013513513513513514}"
